0,Норвегия,,0,0,0,0,0,0
1,Швеция,,0,0,0,0,0,0
2,Финляндия,,0,0,0,0,0,0
3,Россия,,0,5,0.351351,0.45641,14.123413,0.038891
4,Эстония,,0,0,0,0,0,0
5,Латвия,,0,6,0.268041,0.35,0,0.025651
6,Литва,,0,6,0.298851,0.401923,2.792857,0.032367
7,Беларусь,,0,5,0.351351,0.45641,14.123413,0.038891
8,Молдова,,0,0,0,0,0,0
9,Македония,,0,5,0.325,0.445513,12.110119,0.041316
10,Албания,,0,6,0.26,0.374359,2.166667,0.034646
11,Турция,,0,0,0,0,0,0
12,Черногория,,0,5,0.320988,0.426282,7.770238,0.034028
13,Венгрия,,0,4,0.448276,0.544872,65.239286,0.04479
14,Словакия,,0,4,0.440678,0.522436,20.537698,0.037171
15,Босния и Герцеговина,,0,5,0.325,0.412179,1.805357,0.026224
16,Хорватия,,0,5,0.366197,0.460897,14.955556,0.032617
17,Словения,,0,5,0.376812,0.466026,18.312103,0.031928
18,Нидерланды,,0,0,0,0,0,0
19,Бельгия,,0,6,0.298851,0.391026,0,0.026403
20,Швейцария,,0,5,0.356164,0.451282,3.741667,0.03202
21,Люксембург,,0,6,0.298851,0.391026,0,0.026403
22,Андорра,,0,0,0,0,0,0
23,Ватикан,,0,0,0,0,0,0
24,Сан-Марино,,0,0,0,0,0,0
25,Монако,,0,0,0,0,0,0
26,Мальта,,0,0,0,0,0,0
27,Кипр,,0,0,0,0,0,0
28,Косово,,0,5,0.320988,0.426282,5.714881,0.033693
29,Лихтенштейн,,0,0,0,0,0,0
30,Украина,,0,4,0.433333,0.528846,69.485119,0.044191
31,Румыния,,0,4,0.440678,0.528846,75.15,0.038034
32,Болгария,,0,5,0.356164,0.455769,24.554762,0.033214
33,Греция,,0,6,0.27957,0.371795,2.15,0.027014
34,Сербия,,0,4,0.42623,0.560897,93.7125,0.061213
35,Польша,,0,5,0.393939,0.514103,39.334127,0.04467
36,Чехия,,0,5,0.40625,0.510897,16.95496,0.037145
37,Австрия,,0,4,0.440678,0.554487,69.934524,0.051423
38,Италия,,0,5,0.342105,0.442949,11.575,0.032295
39,Португалия,,0,0,0,0,0,0
40,Испания,,0,0,0,0,0,0
41,Франция,,0,6,0.317073,0.441026,6.520833,0.040643
42,Германия,,0,5,0.4,0.537821,64.234921,0.053122
43,Дания,,0,0,0,0,0,0
44,Великобритания,,0,0,0,0,0,0
45,Ирландия,,0,0,0,0,0,0
46,Исландия,,0,0,0,0,0,0
